      2 ?        S      0:00 [kthreadd]
  26081 ?        Sl     0:00  |   \_ /usr/libexec/gvfsd-network --spawner :1.15 /org/gtk/gvfs/exec_spaw/1
  26101 ?        Sl     0:00  |   \_ /usr/libexec/gvfsd-dnssd --spawner :1.15 /org/gtk/gvfs/exec_spaw/3
 255059 ?        Sl     0:00  |   \_ /usr/libexec/gvfsd-http --spawner :1.15 /org/gtk/gvfs/exec_spaw/4
   1572 ?        Sl     0:00  \_ /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
   1575 ?        Ssl    0:01  \_ /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   1594 ?        Sl     0:00  |   \_ /usr/libexec/at-spi-bus-launcher --launch-immediately
   1604 ?        S      0:00  |   |   \_ /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
   1861 ?        Sl     0:00  |   \_ /usr/libexec/gsd-disk-utility-notify
   1882 ?        Sl     0:00  |   \_ /usr/libexec/evolution-data-server/evolution-alarm-notify
   1597 ?        Ssl  153:41  \_ /usr/bin/gnome-shell
   2334 ?        Sl   259:26  |   \_ /snap/firefox/4259/usr/lib/firefox/firefox
   2527 ?        Sl     0:00  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -parentBuildID 20240510023632 -prefsLen 31938 -prefMapSize 243822 -appDir /snap/firefox/4259/usr/lib/firefox/browser {eeacbb0a-60b7-4cf9-81fe-0c4c065a3dfa} 2334 true socket
   2543 ?        Sl     0:55  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 32079 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {e508ff61-41ec-4ac0-aac6-b218a1efab8a} 2334 true tab
   2669 ?        Sl     1:59  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 37594 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {b7fbd47f-8ed6-435f-8d59-150c6024d0cf} 2334 true tab
   2897 ?        Sl     0:15  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -parentBuildID 20240510023632 -sandboxingKind 0 -prefsLen 37594 -prefMapSize 243822 -appDir /snap/firefox/4259/usr/lib/firefox/browser {7a688808-e1a7-4d67-ad9f-d8e304ca05d1} 2334 true utility
